word,count
moon,27
qi,27
shitai,27
idol,27
kokka,27
mirai,27
sayonara,27
trigger,27
iya,27
akaji,27
red,27
bocchan,27
boruto:,27
tora,27
jutsu,27
beastars,27
flops,27
order:,27
dxd,27
shinka,27
generations,27
trigun,27
da,27
heike,26
mononoke,26
blade,26
kiseijuu:,26
sakana-tachi,26
parade,26
reviewers,26
jikan,26
battle,26
josee,26
ishuzoku,26
daichi,26
berserk,26
film:,26
tian,26
leadale,26
shinigami,26
kakuritsu,26
sora,26
super:,26
company,26
wing:,26
(movie),25
tantei,25
jahy-sama,25
chuunibyou,25
r2,25
oemojisangjuui,25
garden,25
live,25
diamond,25
tenshi,25
kanata,25
yakkyoku,25
flcl,25
asa,25
kujikenai!,25
shitai!,25
another,25
bungou,25
suki,24
kuni,24
mairimashita!,24
shinu,24
tamashii,24
iruma-kun,24
ultimate,24
denki,24
kageki,24
stray,24
shoujo!!,24
4:,24
full,24
xian,24
crybaby,24
god,24
devilman:,24
oniisan,24
pretender,24
kenpuu,24
uramichi,24
gintama:,24
champloo,24
sodatekata,23
kyoukai,23
sugar,23
yagate,23
deaimon,23
gyakushuu,23
heaven's,23
psycho-pass,23
feel,23
dao,23
hai,23
dogs,23
soul,23
gensouki,23
k-on!,23
nikki,23
saenai,23
kyuuketsuki,22
omoimasu.,22
special,22
kodomo,22
new,22
teacher,22
charlotte,22
sotsu,22
hirou.,22
girls',22
given,22
dororo,22
hige,22
nazo,22
birdie,22
sugu,22
kyokufuri,22
bougyoryoku,22
akira,22
golf,22
date,22
soshite,22
sewagakari,22
soru.,22
crown,22
peach,22
neko,22
kokurasetai?,22
itai,22
joshi,22
kumichou,22
onizuka,21
dou,21
megalo,21
boss,21
shoujo☆kageki,21
conan,21
1st,21
tail,21
uzaki-chan,21
asobitai!,21
kazarou,21
koukousei,21
heroes',21
kattemimashita,21
box,21
nosferatu,21
mission,21
pet,21
shadows,21
house,21
ryman's,21
zhi,21
yojouhan,21
aoi,21
4th,21
koukaku,21
stone:,21
stardust,21
revue,21
souma,21
uchuu,21
yuukoku,21
moriarty,21
soredemo,21
laika,20
sugiru,20
mendokusai,20
kuzu,20
asobi,20
1:,20
bakemonogatari,20
kuroitsu-san,20
thrice,20
connect!,20
jinsei,20
yu☆gi☆oh!,20
gokushufudou,20
kirei,20
honkai,20
kangaetemo,20
starlight,20
detective,20
kaihatsu-bu,20
re:dive,20
kaijin,20
upon,20
toaru,20
majutsushi,20
motenai,20
zu,20
"healer,",20
omaera,20
tonari,20
3.0+1.0,20
crusaders,20
orange,19
ochita,19
sen,19
(2022),19
étranger,19
richang,19
ookami,19
centimeter,19
∬,19
clannad:,19
project,19
sk∞,19
warui!,19
riverside,19
baki:,19
iv:,19
memories,19
grand,19
5:,19
nanatsu,19
seijo,19
umibe,19
asobase,19
edens,19
danchi,19
elfen,19
byousoku,19
pian,19
mahoutsukai,19
mew,18
pride,18
3d,18
perfect,18
gakeppuchi,18
life:,18
ming,18
prison,18
renmei,18
kamikakushi,18
bannou,18
tsubaki,18
nomad:,18
tsukisusumu,18
shitemita.,18
real,18
ame,18
guan,18
mamahaha,18
shenghuo,18
vermeil:,18
chihiro,18
happy,18
biyori,18
ashita,18
fukaki,18
heart,18
enen,18
iinazuke,18
kakkou,18
yakusai,18
yuki,18
macross,18
prelude,18
shen,18
kinsou,18
hellsing,17
mahouka,17
howl,17
zankyou,17
cavalry,17
lied,17
meikyuu-hen,17
level,17
kanojo:,17
akame,17
kill!,17
suzumiya,17
ryokou,17
tsurego,17
kachigumi,17
akudama,17
ci,17
utagoe,17
doupo,17
max,17
witch,17
hyouka,17
drive,17
terror,17
sensen,17
rikei,17
kikasete,17
kudakenai,17
gensou,17
rpg,17
ugoku,17
shoumei,17
haruhi,17
zoku,17
sakura-sou,17
maryoku,17
mi:,17
nian,17
(2019),17
bakuman.,17
motokano,17
rakudai,17
majutsu,17
little,17
priority,16
nattemashita,16
alternative,16
"300-nen,",16
yi,16
ouran,16
imouto,16
ping,16
spring,16
densetsu:,16
pong,16
yumemiru,16
shaman,16
king,16
sakura,16
wonder,16
host,16
second,16
egg,16
grimgar,16
warawanai,16
chikyuugai,16
aggressive,16
slayer,16
taoshite,16
koko,16
kagaku,16
ling,16
ajin,16
stampede,16
pretty,16
k-on!!,16
loop,16
saibou,15
shita,15
retsuko,15
ayumu,15
daibouken,15
koukyuu,15
gou,15
gal,15
hakozume:,15
kani,15
niwa,15
haibane,15
zettai,15
lovely★complex,15
bokura,15
yosetekuru,15
engage,15
inochi,15
ankoku,15
dorohedoro,15
(2020),15
kotonoha,15
metal,15
mori,15
guilty,15
kokoro,15
yo,15
kouban,15
mushishi,15
deshi,15
muzukashii,15
karasu,15
domestic,15
natsume,15
hajime,15
blood,15
ue,15
wotaku,15
healer,15
akatsuki,15
shenmue,15
plastic,15
shinsekai,15
"mou,",14
kunoichi,14
lagoon,14
astra,14
wars,14
haka,14
top,14
seven,14
kamisama,14
romae,14
blues,14
hakaishin,14
berserk:,14
runner:,14
shindeiru.,14
id:invaded,14
oto,14
bastard!!,14
kuse,14
yobu,14
hotaru,14
tomozaki-kun,14
mune,14
long,14
yome,14
senko-san,14
yuusha:,14
tatteiru,14
jidai-hen,14
magic,14
xing,14
kaginado,14
ghoul,14
shouboutai,14
100-man,14
thermae,14
yuuki,14
shinai,14
eiga,14
iru,14
kakumei,14
ryuusui,14
tueee,14
joe,14
